 Time, r, x_out
0.000000, 0.000000, 1.000000
0.100000, 0.100000, 0.995004
0.200000, 0.200000, 0.980067
0.300000, 0.300000, 0.955336
0.400000, 0.400000, 0.921061
0.500000, 0.500000, 0.877583
0.600000, 0.600000, 0.825336
0.700000, 0.700000, 0.764842
0.800000, 0.800000, 0.696707
0.900000, 0.900000, 0.621610
1.000000, 1.000000, 0.540302
1.100000, 1.100000, 0.453596
1.200000, 1.200000, 0.362358
1.300000, 1.300000, 0.267499
1.400000, 1.400000, 0.169967
1.500000, 1.500000, 0.070737
1.600000, 1.600000, -0.029200
1.700000, 1.700000, -0.128844
1.800000, 1.800000, -0.227202
1.900000, 1.900000, -0.323290
2.000000, 2.000000, -0.416147
2.100000, 2.100000, -0.504846
2.200000, 2.200000, -0.588501
2.300000, 2.300000, -0.666276
2.400000, 2.400000, -0.737394
2.500000, 2.500000, -0.801144
2.600000, 2.600000, -0.856889
2.700000, 2.700000, -0.904072
2.800000, 2.800000, -0.942222
2.900000, 2.900000, -0.970958
3.000000, 3.000000, -0.989992
3.100000, 3.100000, -0.999135
3.200000, 2.157522, -0.553637
3.300000, 1.215044, 0.348295
3.400000, 0.272567, 0.963083
3.500000, -0.669911, 0.783877
3.600000, -1.612389, -0.041581
3.700000, -2.554867, -0.832758
3.800000, -3.497345, -0.937385
3.900000, -4.439822, -0.269204
4.000000, -5.382300, 0.620916
4.100000, -6.324778, 0.999135
4.200000, -6.224778, 0.998295
4.300000, -6.124778, 0.987480
4.400000, -6.024778, 0.966798
4.500000, -5.924778, 0.936457
4.600000, -5.824778, 0.896758
4.700000, -5.724778, 0.848100
4.800000, -5.624778, 0.790968
4.900000, -5.524778, 0.725932
5.000000, -5.424778, 0.653644
5.100000, -5.324778, 0.574824
5.200000, -5.224778, 0.490261
5.300000, -5.124778, 0.400799
5.400000, -5.024778, 0.307333
5.500000, -4.924778, 0.210796
5.600000, -4.824778, 0.112153
5.700000, -4.724778, 0.012389
5.800000, -4.624778, -0.087499
5.900000, -4.524778, -0.186512
6.000000, -4.424778, -0.283662
6.100000, -4.324778, -0.377978
6.200000, -4.224778, -0.468517
6.300000, -4.124778, -0.554374
6.400000, -4.024778, -0.634693
6.500000, -3.924778, -0.708670
6.600000, -3.824778, -0.775566
6.700000, -3.724778, -0.834713
6.800000, -3.624778, -0.885520
6.900000, -3.524778, -0.927478
7.000000, -3.424778, -0.960170
7.100000, -3.324778, -0.983268
7.200000, -3.224778, -0.996542
7.300000, -4.167256, -0.518532
7.400000, -5.109734, 0.386971
7.500000, -6.052211, 0.973444
7.600000, -6.994689, 0.757381
7.700000, -7.937167, -0.083089
7.800000, -8.879645, -0.855058
7.900000, -9.822123, -0.922092
8.000000, -10.764600, -0.228926
8.100000, -11.707078, 0.652973
8.200000, -12.649556, 0.996542
8.300000, -12.549556, 0.999859
8.400000, -12.449556, 0.993185
8.500000, -12.349556, 0.976588
8.600000, -12.249556, 0.950233
8.700000, -12.149556, 0.914383
8.800000, -12.049556, 0.869397
8.900000, -11.949556, 0.815725
9.000000, -11.849556, 0.753902
9.100000, -11.749556, 0.684547
9.200000, -11.649556, 0.608351
9.300000, -11.549556, 0.526078
9.400000, -11.449556, 0.438547
9.500000, -11.349556, 0.346635
9.600000, -11.249556, 0.251260
9.700000, -11.149556, 0.153374
9.800000, -11.049556, 0.053955
9.900000, -10.949556, -0.046002
10.000000, -10.849556, -0.145500
